IDMancha;com;cobv
226;7;20.00
226;21;75.00
226;25;5.00
229;5;35.00
229;6;30.00
229;13;30.00
229;21;5.00
234;19;100.00
235;4;5.00
235;8;45.00
235;21;20.00
235;23;10.00
235;24;5.00
235;28;5.00
235;30;10.00
236;2;20.00
236;6;30.00
236;13;30.00
236;30;20.00
237;6;5.00
237;13;5.00
237;23;30.00
237;30;60.00
238;7;85.00
238;13;5.00
238;21;5.00
238;30;5.00
239;1;15.00
239;9;20.00
239;20;5.00
239;23;20.00
239;28;40.00
242;3;5.00
242;9;10.00
242;20;5.00
242;21;10.00
242;23;60.00
242;28;10.00
243;21;40.00
243;23;40.00
243;28;20.00
245;1;5.00
245;9;15.00
245;21;10.00
245;23;40.00
245;28;30.00
246;1;10.00
246;9;45.00
246;17;5.00
246;20;10.00
246;28;30.00
247;9;5.00
247;14;70.00
247;21;25.00
248;1;10.00
248;9;25.00
248;13;5.00
248;17;5.00
248;20;5.00
248;21;20.00
248;28;30.00
249;1;15.00
249;9;15.00
249;14;20.00
249;21;10.00
249;28;40.00
252;1;10.00
252;4;5.00
252;9;40.00
252;17;5.00
252;28;30.00
254;1;5.00
254;3;5.00
254;4;5.00
254;9;15.00
254;17;5.00
254;20;5.00
254;21;25.00
254;23;30.00
254;28;5.00
255;1;15.00
255;9;20.00
255;17;15.00
255;20;10.00
255;21;20.00
255;28;20.00
259;5;5.00
259;9;10.00
259;14;75.00
259;21;5.00
259;23;5.00
260;9;10.00
260;21;80.00
260;23;5.00
260;28;5.00
262;3;10.00
262;9;30.00
262;10;5.00
262;13;5.00
262;16;25.00
262;20;5.00
262;23;5.00
262;28;15.00
276;1;5.00
276;4;5.00
276;9;25.00
276;17;5.00
276;20;5.00
276;21;10.00
276;23;40.00
276;28;5.00
277;1;5.00
277;9;20.00
277;17;5.00
277;20;5.00
277;21;50.00
277;28;15.00
278;1;5.00
278;4;5.00
278;9;15.00
278;17;5.00
278;20;5.00
278;21;25.00
278;23;40.00
283;1;20.00
283;4;5.00
283;9;20.00
283;20;40.00
283;28;15.00
285;5;10.00
285;6;5.00
285;37;85.00
286;5;5.00
286;7;40.00
286;21;50.00
286;23;5.00
287;5;5.00
287;24;5.00
287;37;90.00
290;5;5.00
290;7;80.00
290;21;10.00
290;23;5.00
291;6;5.00
291;9;5.00
291;21;5.00
291;25;5.00
291;37;80.00
292;2;10.00
292;5;5.00
292;30;85.00
294;5;5.00
294;6;5.00
294;7;80.00
294;13;10.00
296;1;10.00
296;9;25.00
296;17;20.00
296;20;10.00
296;21;5.00
296;28;30.00
300;1;10.00
300;9;30.00
300;14;5.00
300;17;10.00
300;20;15.00
300;21;10.00
300;23;5.00
300;28;15.00
301;7;80.00
301;9;5.00
301;21;15.00
301;28;5.00
304;2;10.00
304;23;10.00
304;24;20.00
304;30;60.00
305;3;5.00
305;21;40.00
305;23;50.00
305;28;5.00
306;21;60.00
306;23;40.00
307;1;5.00
307;9;30.00
307;23;35.00
307;28;30.00
308;5;5.00
308;7;40.00
308;9;5.00
308;21;40.00
308;23;5.00
308;25;5.00
311;1;5.00
311;3;5.00
311;21;35.00
311;23;50.00
311;28;5.00
312;1;5.00
312;3;5.00
312;9;10.00
312;17;15.00
312;20;35.00
312;21;20.00
312;23;5.00
312;28;5.00
314;1;5.00
314;9;5.00
314;14;85.00
314;28;5.00
317;5;10.00
317;37;90.00
322;1;10.00
322;9;10.00
322;17;10.00
322;20;10.00
322;21;50.00
322;23;5.00
322;28;5.00
326;1;15.00
326;9;30.00
326;17;15.00
326;20;15.00
326;23;15.00
326;28;10.00
327;1;10.00
327;9;40.00
327;17;5.00
327;23;5.00
327;28;40.00
329;1;5.00
329;9;20.00
329;14;5.00
329;17;5.00
329;20;5.00
329;21;25.00
329;23;5.00
329;28;30.00
330;1;10.00
330;9;35.00
330;17;10.00
330;20;10.00
330;21;20.00
330;28;15.00
332;1;15.00
332;9;25.00
332;17;5.00
332;20;10.00
332;21;10.00
332;28;35.00
336;1;10.00
336;9;20.00
336;17;5.00
336;20;30.00
336;21;10.00
336;23;5.00
336;28;20.00
344;5;5.00
344;24;5.00
344;37;90.00
346;3;10.00
346;9;40.00
346;10;10.00
346;16;30.00
346;28;10.00
347;1;40.00
347;9;15.00
347;14;10.00
347;28;30.00
347;38;5.00
